Poccaþyrsas

Professor Oak	Mægester Ac
Poké Ball	þyrsabeall, poccabeall
Bicycle	Farhweol
Pkmn Center	Poccaþyrs Heorð
Poké Mart	Poccamarcet
trainer		rærenda, rærend?
gym	Plegstow
gym leader

Brock	Brocc
Misty	Mistig..
Lt.Surge	Þunorþegen, Þorþegn
Erika	Erica, Heað...
Koga	Coga
Sabrina	Ides.., Sæfern
Blaine
Giovanni	Þunoresac?

0.	Missenderim, Missende Rim
1.	Sædeor, Sæddeor
2.	Buddeor
3.	Blostmadeor, Blosdeor
4.	Fyraðexe
5.	Blaðexe
6.	Biernaðexe
7.	Sellpadde
8.	Tægelpadde, Heaðopadde
9.	Blæstudo
10.	Gryben
11.	Wendpad
12.	Buttorfreo
13.	Beofel
14.	Scellstrang, Beoscell
15.	Beorere, Beora, Beogar, Beobor
16.	Poppo, Dufuc, Dufoc, Dufeoc
17.	Pipionem, Dufocto, Dufeocto
18.	Dufuma
19.	Rættætæ
20.	Rættætoð
21.	Sperewa
22.	Færwa
23.	Acans
24.	Mryw, Snepres
25.	Picacu
26.	Rægcu
27.	Sandscreawa, Sandmus
28.	Sandþaks, Sandclawu
29.	Nidoran(F), Nidorænen
30.	Nidorina
31.	Nidocwen
32.	Nidoran(M)
33.	Nidorino, Nidorinus
34.	Nidocyning
35.	Pippi, Dreamylfen
36.	Pixi, Dreamtalu
37.	Foxiex, Siextæglas
38.	Nigontæglas, Nigontala
39.	Purin, Cubbigpuff, Putepuff
40.	Pucurin, Cubbeþuf
41.	Subat, Zubat
42.	Golbat
43.	Fremdgræs, Fremdrædic, Fremdweod, Weoddi
44.	Stencblostm, Glostm
45.	Blostmator
46.	Paras
47.	Parasect
48.	Atorgnætt, Blodgnætt, Blodrinc
49.	Atormoððe
50.	Digda, Dican
51.	Dugtrio, Dicþri
52.	Miuð
53.	Persian, Persisc, Persiscatt(e)
54.	Ducild, Cilduce
55.	Golduce
56.	Manci, Crancapa
57.	Angrapa
58.	Grilliðe
59.	Arcanis, Brandocga
60.	Polwagge
61.	Pol(h)weorfe
62.	Polwraðe
63.	Abra
64.	Cadabra
65.	Alacasam
66.	Rincipp
67.	Rinceoce
68.	Rincempa
69.	Bellesprut
70.	Wependebelle, Wepabelle
71.	Sigebelle
72.	Pulmalgidus
73.	Pulmomalignus, Pulmalignus
74.	Papelstan
75.	Lapistan
76.	Petrocc
77.	Ponita
78.	Swifthleap, Hleapswift
79.	Slawoc, Slawuc
80.	Slawbro
81.	Magnesoc
82.	Magneton
83.	Leacduce, Fugleac
84.	Doduo
85.	Dodrio
86.	Seolh
87.	Sæcu
88.	Slima
89.	Slimyc, Slimuc
90.	Scelltruma
91.	Claustre
92.	Gæstlig
93.	Gæstmare
94.	Gængar
95.	Onix
96.	Sopor
97.	Hypnos
98.	Crabbig
99.	Cyniðla
100.	Þunorbis
101.	Þunorbæll
102.	Ægregg
103.	Ægtreow
104.	Banhelm
105.	Meargwell
106.	Cicnaþyrs
107.	Hittaþyrs
108.	Liccitunge
109.	Cohhia
110.	Hwæsa
111.	Unihorn
112.	Unidon
113.	Hæppig
114.	Tangela
115.	Modorfet, Greatefet, Scelfet
116.	Horsæ, Mere
117.	Sædra
118.	Goldwen
119.	Goldyning, Sæcyning
120.	Steorraþe
121.	Steorrame
122.	Mægester Mima
123.	Siðere
124.	Rubella, Iynx
125.	Elebo, Þundeor
126.	Magmar
127.	Scierabudda
128.	Taurus
129.	Galdorcarpa, Æðelcarpa
130.	Giarados
131.	Lapras
132.	Idem, Metamon
133.	Eohur, Mannur
134.	Wæterieldu
135.	Þunorieldu, Þorieldu
136.	Gledieldu
137.	Porigon, Porygon
138.	Ammonita, Omnit
139.	Ammonisteorra, Omstar
140.	Cabuto
141.	Cabutops
142.	Ptera, Ærodactyl
143.	Snarcrest, Hnapprest
144.	Congelo, Conglacio, Tyleinn
145.	Tono, Tonus, Tonitrus, Stormtweir, Iuppitweir
146.	Ignis, Incendo, Inflammo, Meltaþrir
147.	Dracaling
148.	Dracalyft
149.	Dracaniht
150.	Miutu, Miutwa
151.	Miu
152.	Togepi
